Test, Threshold/size, Time
QuickSortMiddleAverageCase,73100,3971587
QuickSortEndAverageCase,74100,738387836
QuickSortMiddleAverageCase,74100,3996971
QuickSortEndAverageCase,75100,758684300
QuickSortMiddleAverageCase,75100,4143253
QuickSortEndAverageCase,76100,776333246
QuickSortMiddleAverageCase,76100,4372882
QuickSortEndAverageCase,77100,799148780
QuickSortMiddleAverageCase,77100,4167579
QuickSortEndAverageCase,78100,819906126
QuickSortMiddleAverageCase,78100,4186848
QuickSortEndAverageCase,79100,838441415
QuickSortMiddleAverageCase,79100,4298853
QuickSortEndAverageCase,80100,863583604
QuickSortMiddleAverageCase,80100,4576694
QuickSortEndAverageCase,81100,883378641
QuickSortMiddleAverageCase,81100,4439740
QuickSortEndAverageCase,82100,906763115
QuickSortMiddleAverageCase,82100,4721567
QuickSortEndAverageCase,83100,924846455
QuickSortMiddleAverageCase,83100,4773066
QuickSortEndAverageCase,84100,947098695
QuickSortMiddleAverageCase,84100,4887030
QuickSortEndAverageCase,85100,969973025
QuickSortMiddleAverageCase,85100,4888803
QuickSortEndAverageCase,86100,994208342
QuickSortMiddleAverageCase,86100,5033398
QuickSortEndAverageCase,87100,1015368299
QuickSortMiddleAverageCase,87100,5059970
QuickSortEndAverageCase,88100,1047035398
QuickSortMiddleAverageCase,88100,5222260
QuickSortEndAverageCase,89100,1089864177
QuickSortMiddleAverageCase,89100,5372852
QuickSortEndAverageCase,90100,1117247613
QuickSortMiddleAverageCase,90100,5277462
QuickSortEndAverageCase,91100,1130594197
QuickSortMiddleAverageCase,91100,5369884
QuickSortEndAverageCase,92100,1145434673
QuickSortMiddleAverageCase,92100,5245219
QuickSortEndAverageCase,93100,1185497033
QuickSortMiddleAverageCase,93100,5452083
QuickSortEndAverageCase,94100,1199254093
QuickSortMiddleAverageCase,94100,5546939
QuickSortEndAverageCase,95100,1231340451
QuickSortMiddleAverageCase,95100,5506072
QuickSortEndAverageCase,96100,1250855421
QuickSortMiddleAverageCase,96100,5583404
QuickSortEndAverageCase,97100,1265967636
QuickSortMiddleAverageCase,97100,5559569
QuickSortEndAverageCase,98100,1291665520
QuickSortMiddleAverageCase,98100,5615579
QuickSortEndAverageCase,99100,1319467339
QuickSortMiddleAverageCase,99100,5668226
QuickSortEndAverageCase,100100,1342056823
QuickSortMiddleAverageCase,100100,5666670
QuickSortEndAverageCase,101100,1380224257
QuickSortMiddleAverageCase,101100,5804694
QuickSortEndAverageCase,102100,1397316463
QuickSortMiddleAverageCase,102100,5779959
QuickSortEndAverageCase,103100,1428666175
