,,,,,,
10,173117,,,,,
100,54882,,,,,
1000,2564694,,,,,
10000,25948967,,,,,
20000,28946010,,,,,
30000,64935903,,,,,
40000,116947853,,,,,
50000,182041404,,,,,
60000,250535745,,,,,
70000,344304492,,,,,
80000,451739263,,,,,
90000,560925984,,,,,
100000,697790512,,,,,
