type,dim,n,k,time
dumb,4,9000,30,400248
dumb,5,9000,30,503975
dumb,6,9000,30,560731
dumb,7,9000,30,644845
dumb,1,10000,30,207910
dumb,2,10000,30,281999
dumb,3,10000,30,347325
dumb,4,10000,30,447438
dumb,5,10000,30,549811
dumb,6,10000,30,621200
dumb,7,10000,30,703330
dumb,1,1000,40,24566
dumb,2,1000,40,35711
dumb,3,1000,40,45676
dumb,4,1000,40,53881
dumb,5,1000,40,76155
dumb,6,1000,40,81971
dumb,7,1000,40,92823
dumb,1,2000,40,45705
dumb,2,2000,40,62132
dumb,3,2000,40,81473
dumb,4,2000,40,105334
dumb,5,2000,40,124301
dumb,6,2000,40,139833
dumb,7,2000,40,160709
dumb,1,3000,40,64423
dumb,2,3000,40,89735
dumb,3,3000,40,115677
dumb,4,3000,40,153699
dumb,5,3000,40,194542
dumb,6,3000,40,214935
dumb,7,3000,40,231142
dumb,1,4000,40,81957
dumb,2,4000,40,116603
dumb,3,4000,40,144447
dumb,4,4000,40,189261
dumb,5,4000,40,228766
dumb,6,4000,40,286926
dumb,7,4000,40,305286
dumb,1,5000,40,104614
dumb,2,5000,40,141731
dumb,3,5000,40,184904
dumb,4,5000,40,232649
dumb,5,5000,40,303830
dumb,6,5000,40,331936
dumb,7,5000,40,382817
dumb,1,6000,40,122320
dumb,2,6000,40,174737
dumb,3,6000,40,208203
dumb,4,6000,40,277572
dumb,5,6000,40,338330
dumb,6,6000,40,377753
dumb,7,6000,40,476819
dumb,1,7000,40,159201
dumb,2,7000,40,201940
dumb,3,7000,40,275699
dumb,4,7000,40,350491
dumb,5,7000,40,420611
dumb,6,7000,40,487032
dumb,7,7000,40,524021
dumb,1,8000,40,166238
dumb,2,8000,40,221338
dumb,3,8000,40,290017
dumb,4,8000,40,364206
dumb,5,8000,40,452449
dumb,6,8000,40,528908
dumb,7,8000,40,580244
dumb,1,9000,40,178005
dumb,2,9000,40,252148
dumb,3,9000,40,312089
dumb,4,9000,40,398564
dumb,5,9000,40,533993
dumb,6,9000,40,572231
dumb,7,9000,40,665657
dumb,1,10000,40,192641
dumb,2,10000,40,272393
dumb,3,10000,40,345432
dumb,4,10000,40,435144
dumb,5,10000,40,543733
dumb,6,10000,40,644279
dumb,7,10000,40,689986
dumb,1,1000,50,24078
dumb,2,1000,50,36548
dumb,3,1000,50,42484
dumb,4,1000,50,54317
dumb,5,1000,50,65544
dumb,6,1000,50,76371
dumb,7,1000,50,88628
dumb,1,2000,50,51129
dumb,2,2000,50,66467
dumb,3,2000,50,79845
dumb,4,2000,50,104491
dumb,5,2000,50,127343
dumb,6,2000,50,144457
dumb,7,2000,50,174526
dumb,1,3000,50,71559
dumb,2,3000,50,105110
dumb,3,3000,50,120723
dumb,4,3000,50,165069
dumb,5,3000,50,184795
dumb,6,3000,50,226092
dumb,7,3000,50,248432
dumb,1,4000,50,85518
dumb,2,4000,50,122141
dumb,3,4000,50,157777
dumb,4,4000,50,204973
dumb,5,4000,50,257177
dumb,6,4000,50,295837
dumb,7,4000,50,316954
dumb,1,5000,50,128582
dumb,2,5000,50,155184
dumb,3,5000,50,190081
dumb,4,5000,50,256023
dumb,5,5000,50,322248
dumb,6,5000,50,397736
dumb,7,5000,50,419296
dumb,1,6000,50,136569
dumb,2,6000,50,201760
dumb,3,6000,50,245622
dumb,4,6000,50,339357
dumb,5,6000,50,374470
dumb,6,6000,50,461816
dumb,7,6000,50,531352
dumb,1,7000,50,166758
dumb,2,7000,50,232396
dumb,3,7000,50,293904
dumb,4,7000,50,359607
dumb,5,7000,50,442830
dumb,6,7000,50,548724
dumb,7,7000,50,635083
dumb,1,8000,50,187442
dumb,2,8000,50,275836
dumb,3,8000,50,339263
dumb,4,8000,50,419927
dumb,5,8000,50,521785
dumb,6,8000,50,605599
dumb,7,8000,50,667214
dumb,1,9000,50,206098
dumb,2,9000,50,284667
dumb,3,9000,50,357827
dumb,4,9000,50,451211
dumb,5,9000,50,539475
dumb,6,9000,50,644302
dumb,7,9000,50,711101
dumb,1,10000,50,225272
dumb,2,10000,50,300415
dumb,3,10000,50,378719
dumb,4,10000,50,491523
dumb,5,10000,50,583915
dumb,6,10000,50,690028
dumb,7,10000,50,777586
bucket,1,1000,10,4241
bucket,2,1000,10,21819
bucket,3,1000,10,58144
bucket,4,1000,10,73598
bucket,5,1000,10,100677
bucket,6,1000,10,114079
bucket,7,1000,10,124905
bucket,1,2000,10,6779
bucket,2,2000,10,31608
bucket,3,2000,10,75631
bucket,4,2000,10,139271
bucket,5,2000,10,196062
bucket,6,2000,10,211412
bucket,7,2000,10,242809
bucket,1,3000,10,6227
bucket,2,3000,10,35516
bucket,3,3000,10,111635
bucket,4,3000,10,207677
bucket,5,3000,10,289157
bucket,6,3000,10,323814
bucket,7,3000,10,370324
bucket,1,4000,10,6985
bucket,2,4000,10,45833
bucket,3,4000,10,145617
bucket,4,4000,10,278690
bucket,5,4000,10,406043
bucket,6,4000,10,425188
bucket,7,4000,10,489679
bucket,1,5000,10,8027
bucket,2,5000,10,47396
bucket,3,5000,10,159477
bucket,4,5000,10,344092
bucket,5,5000,10,471265
bucket,6,5000,10,524115
bucket,7,5000,10,589257
bucket,1,6000,10,10196
bucket,2,6000,10,57914
bucket,3,6000,10,189683
bucket,4,6000,10,444078
bucket,5,6000,10,478154
bucket,6,6000,10,672541
bucket,7,6000,10,830561
bucket,1,7000,10,11830
bucket,2,7000,10,75661
bucket,3,7000,10,216994
bucket,4,7000,10,412446
bucket,5,7000,10,670845
bucket,6,7000,10,861376
bucket,7,7000,10,951007
bucket,1,8000,10,11464
bucket,2,8000,10,85149
bucket,3,8000,10,311974
bucket,4,8000,10,545841
bucket,5,8000,10,768345
bucket,6,8000,10,1060699
bucket,7,8000,10,1208592
bucket,1,9000,10,13219
bucket,2,9000,10,70850
bucket,3,9000,10,356317
bucket,4,9000,10,639974
bucket,5,9000,10,814418
bucket,6,9000,10,1129874
bucket,7,9000,10,1268164
bucket,1,10000,10,14271
bucket,2,10000,10,88019
bucket,3,10000,10,391549
bucket,4,10000,10,648980
bucket,5,10000,10,883294
bucket,6,10000,10,1132569
bucket,7,10000,10,1265790
bucket,1,1000,20,3737
bucket,2,1000,20,17201
bucket,3,1000,20,53331
bucket,4,1000,20,76064
bucket,5,1000,20,108192
bucket,6,1000,20,123105
bucket,7,1000,20,135138
bucket,1,2000,20,5172
bucket,2,2000,20,37925
bucket,3,2000,20,87673
bucket,4,2000,20,155351
bucket,5,2000,20,205145
bucket,6,2000,20,230329
bucket,7,2000,20,257739
bucket,1,3000,20,7021
bucket,2,3000,20,39280
bucket,3,3000,20,120043
bucket,4,3000,20,229881
bucket,5,3000,20,307657
bucket,6,3000,20,356602
bucket,7,3000,20,384171
bucket,1,4000,20,9144
bucket,2,4000,20,46203
bucket,3,4000,20,176392
bucket,4,4000,20,307549
bucket,5,4000,20,409125
bucket,6,4000,20,452884
bucket,7,4000,20,496615
bucket,1,5000,20,9462
bucket,2,5000,20,51111
bucket,3,5000,20,152842
bucket,4,5000,20,376299
bucket,5,5000,20,499190
bucket,6,5000,20,574918
bucket,7,5000,20,608167
bucket,1,6000,20,8950
bucket,2,6000,20,57279
bucket,3,6000,20,181534
bucket,4,6000,20,429508
bucket,5,6000,20,501826
bucket,6,6000,20,667810
bucket,7,6000,20,737775
bucket,1,7000,20,9856
bucket,2,7000,20,62599
bucket,3,7000,20,246299
bucket,4,7000,20,442027
bucket,5,7000,20,584342
bucket,6,7000,20,777402
bucket,7,7000,20,875014
bucket,1,8000,20,11090
bucket,2,8000,20,83434
bucket,3,8000,20,278662
bucket,4,8000,20,470010
bucket,5,8000,20,666666
bucket,6,8000,20,944598
bucket,7,8000,20,993885
bucket,1,9000,20,12189
bucket,2,9000,20,73038
bucket,3,9000,20,303281
bucket,4,9000,20,538411
bucket,5,9000,20,769228
bucket,6,9000,20,1061247
bucket,7,9000,20,1177415
bucket,1,10000,20,12513
bucket,2,10000,20,82673
bucket,3,10000,20,359198
bucket,4,10000,20,645920
bucket,5,10000,20,864274
bucket,6,10000,20,1166065
bucket,7,10000,20,1319154
bucket,1,1000,30,4142
bucket,2,1000,30,21200
bucket,3,1000,30,55788
bucket,4,1000,30,77647
bucket,5,1000,30,106834
bucket,6,1000,30,123531
bucket,7,1000,30,131777
bucket,1,2000,30,5741
bucket,2,2000,30,35489
bucket,3,2000,30,86385
bucket,4,2000,30,149672
bucket,5,2000,30,217295
bucket,6,2000,30,236082
bucket,7,2000,30,265202
bucket,1,3000,30,7581
bucket,2,3000,30,37755
bucket,3,3000,30,130616
bucket,4,3000,30,224538
bucket,5,3000,30,322793
bucket,6,3000,30,354786
bucket,7,3000,30,394631
bucket,1,4000,30,8021
bucket,2,4000,30,57029
bucket,3,4000,30,166164
bucket,4,4000,30,332799
bucket,5,4000,30,438325
bucket,6,4000,30,475591
bucket,7,4000,30,519438
bucket,1,5000,30,8894
bucket,2,5000,30,53353
bucket,3,5000,30,156197
bucket,4,5000,30,384405
bucket,5,5000,30,512096
bucket,6,5000,30,575299
bucket,7,5000,30,634739
bucket,1,6000,30,10165
bucket,2,6000,30,65299
bucket,3,6000,30,187646
bucket,4,6000,30,471045
bucket,5,6000,30,514453
bucket,6,6000,30,698200
bucket,7,6000,30,767059
bucket,1,7000,30,10384
bucket,2,7000,30,75812
bucket,3,7000,30,230866
bucket,4,7000,30,452201
bucket,5,7000,30,595993
bucket,6,7000,30,810099
bucket,7,7000,30,915222
bucket,1,8000,30,10773
bucket,2,8000,30,87787
bucket,3,8000,30,289938
bucket,4,8000,30,488524
bucket,5,8000,30,690529
bucket,6,8000,30,922817
bucket,7,8000,30,1021802
bucket,1,9000,30,12408
bucket,2,9000,30,71416
bucket,3,9000,30,313787
bucket,4,9000,30,578309
bucket,5,9000,30,806638
bucket,6,9000,30,1116323
bucket,7,9000,30,1238774
bucket,1,10000,30,12845
bucket,2,10000,30,90702
bucket,3,10000,30,399985
bucket,4,10000,30,665134
bucket,5,10000,30,925414
bucket,6,10000,30,1217086
bucket,7,10000,30,1341418
bucket,1,1000,40,4539
bucket,2,1000,40,21588
bucket,3,1000,40,57233
bucket,4,1000,40,83978
bucket,5,1000,40,117248
bucket,6,1000,40,128361
bucket,7,1000,40,137657
bucket,1,2000,40,6443
bucket,2,2000,40,40858
bucket,3,2000,40,82845
bucket,4,2000,40,159851
bucket,5,2000,40,227035
bucket,6,2000,40,247705
bucket,7,2000,40,275556
bucket,1,3000,40,7579
bucket,2,3000,40,43432
bucket,3,3000,40,127988
bucket,4,3000,40,238503
bucket,5,3000,40,333094
bucket,6,3000,40,373938
bucket,7,3000,40,403907
bucket,1,4000,40,8342
bucket,2,4000,40,49396
bucket,3,4000,40,174456
bucket,4,4000,40,317727
bucket,5,4000,40,423483
bucket,6,4000,40,470801
bucket,7,4000,40,527507
bucket,1,5000,40,8628
bucket,2,5000,40,56996
bucket,3,5000,40,166531
bucket,4,5000,40,410235
bucket,5,5000,40,541466
bucket,6,5000,40,600411
bucket,7,5000,40,675411
bucket,1,6000,40,10413
bucket,2,6000,40,63494
bucket,3,6000,40,203193
bucket,4,6000,40,474794
bucket,5,6000,40,517534
bucket,6,6000,40,731962
bucket,7,6000,40,811421
bucket,1,7000,40,11373
bucket,2,7000,40,67946
bucket,3,7000,40,242830
bucket,4,7000,40,434834
bucket,5,7000,40,606863
bucket,6,7000,40,865062
bucket,7,7000,40,929209
bucket,1,8000,40,11806
bucket,2,8000,40,68124
bucket,3,8000,40,273767
bucket,4,8000,40,487258
bucket,5,8000,40,681335
bucket,6,8000,40,968411
bucket,7,8000,40,1043212
bucket,1,9000,40,11625
bucket,2,9000,40,76184
bucket,3,9000,40,326678
bucket,4,9000,40,552705
bucket,5,9000,40,781537
bucket,6,9000,40,1059013
bucket,7,9000,40,1147358
bucket,1,10000,40,12370
bucket,2,10000,40,85366
bucket,3,10000,40,373784
bucket,4,10000,40,670411
bucket,5,10000,40,894336
bucket,6,10000,40,1178949
bucket,7,10000,40,1328965
bucket,1,1000,50,5094
bucket,2,1000,50,19511
bucket,3,1000,50,57761
bucket,4,1000,50,78975
bucket,5,1000,50,110092
bucket,6,1000,50,127134
bucket,7,1000,50,145432
bucket,1,2000,50,5902
bucket,2,2000,50,33927
bucket,3,2000,50,80594
bucket,4,2000,50,154972
bucket,5,2000,50,215292
bucket,6,2000,50,240565
bucket,7,2000,50,267032
bucket,1,3000,50,7998
bucket,2,3000,50,37648
bucket,3,3000,50,133943
bucket,4,3000,50,233407
bucket,5,3000,50,337989
bucket,6,3000,50,373332
bucket,7,3000,50,401261
bucket,1,4000,50,7960
bucket,2,4000,50,46687
bucket,3,4000,50,171223
bucket,4,4000,50,312384
bucket,5,4000,50,422526
bucket,6,4000,50,476156
bucket,7,4000,50,527494
bucket,1,5000,50,10390
bucket,2,5000,50,65014
bucket,3,5000,50,183057
