type,dim,n,k,time
kdtree,5,1000,10,25854
kdtree,6,1000,10,39749
kdtree,7,1000,10,54797
kdtree,1,2000,10,196403
kdtree,2,2000,10,24933
kdtree,3,2000,10,18970
kdtree,4,2000,10,22633
kdtree,5,2000,10,31743
kdtree,6,2000,10,48964
kdtree,7,2000,10,76109
kdtree,1,3000,10,283645
kdtree,2,3000,10,31866
kdtree,3,3000,10,20932
kdtree,4,3000,10,26984
kdtree,5,3000,10,39730
kdtree,6,3000,10,59167
kdtree,7,3000,10,95741
kdtree,1,4000,10,378568
kdtree,2,4000,10,36319
kdtree,3,4000,10,23823
kdtree,4,4000,10,30232
kdtree,5,4000,10,41719
kdtree,6,4000,10,64404
kdtree,7,4000,10,92085
kdtree,1,5000,10,445083
kdtree,2,5000,10,37814
kdtree,3,5000,10,25530
kdtree,4,5000,10,28577
kdtree,5,5000,10,42257
kdtree,6,5000,10,69421
kdtree,7,5000,10,106571
kdtree,1,6000,10,527298
kdtree,2,6000,10,44573
kdtree,3,6000,10,27236
kdtree,4,6000,10,30873
kdtree,5,6000,10,45118
kdtree,6,6000,10,72794
kdtree,7,6000,10,118207
kdtree,1,7000,10,607257
kdtree,2,7000,10,47865
kdtree,3,7000,10,29984
kdtree,4,7000,10,32413
kdtree,5,7000,10,48461
kdtree,6,7000,10,82888
kdtree,7,7000,10,127392
kdtree,1,8000,10,678002
kdtree,2,8000,10,48971
kdtree,3,8000,10,30535
kdtree,4,8000,10,34801
kdtree,5,8000,10,49905
kdtree,6,8000,10,81006
kdtree,7,8000,10,133074
kdtree,1,9000,10,730094
kdtree,2,9000,10,54033
kdtree,3,9000,10,32168
kdtree,4,9000,10,36991
kdtree,5,9000,10,50194
kdtree,6,9000,10,83668
kdtree,7,9000,10,139216
kdtree,1,10000,10,813444
kdtree,2,10000,10,56361
kdtree,3,10000,10,33869
kdtree,4,10000,10,40353
kdtree,5,10000,10,59949
kdtree,6,10000,10,86762
kdtree,7,10000,10,139956
kdtree,1,1000,20,110832
kdtree,2,1000,20,27360
kdtree,3,1000,20,20519
kdtree,4,1000,20,24694
kdtree,5,1000,20,33942
kdtree,6,1000,20,51308
kdtree,7,1000,20,68567
kdtree,1,2000,20,226954
kdtree,2,2000,20,39926
kdtree,3,2000,20,27420
kdtree,4,2000,20,31564
kdtree,5,2000,20,44103
kdtree,6,2000,20,67039
kdtree,7,2000,20,102258
kdtree,1,3000,20,333933
kdtree,2,3000,20,52152
kdtree,3,3000,20,34253
kdtree,4,3000,20,39231
kdtree,5,3000,20,53019
kdtree,6,3000,20,77955
kdtree,7,3000,20,116524
kdtree,1,4000,20,444971
kdtree,2,4000,20,56703
kdtree,3,4000,20,38044
kdtree,4,4000,20,43492
kdtree,5,4000,20,60503
kdtree,6,4000,20,86803
kdtree,7,4000,20,132135
kdtree,1,5000,20,548119
kdtree,2,5000,20,66353
kdtree,3,5000,20,40619
kdtree,4,5000,20,48654
kdtree,5,5000,20,63612
kdtree,6,5000,20,87367
kdtree,7,5000,20,160809
kdtree,1,6000,20,683108
kdtree,2,6000,20,72527
kdtree,3,6000,20,44944
kdtree,4,6000,20,48976
kdtree,5,6000,20,73302
kdtree,6,6000,20,99586
kdtree,7,6000,20,153032
kdtree,1,7000,20,776478
kdtree,2,7000,20,79435
kdtree,3,7000,20,47432
kdtree,4,7000,20,53343
kdtree,5,7000,20,72235
kdtree,6,7000,20,107810
kdtree,7,7000,20,169990
kdtree,1,8000,20,901789
kdtree,2,8000,20,84535
kdtree,3,8000,20,55211
kdtree,4,8000,20,54295
kdtree,5,8000,20,75031
kdtree,6,8000,20,112772
kdtree,7,8000,20,180535
kdtree,1,9000,20,1028876
kdtree,2,9000,20,91497
kdtree,3,9000,20,52450
kdtree,4,9000,20,59820
kdtree,5,9000,20,80207
kdtree,6,9000,20,120284
kdtree,7,9000,20,183192
kdtree,1,10000,20,1121648
kdtree,2,10000,20,98395
kdtree,3,10000,20,55529
kdtree,4,10000,20,59444
kdtree,5,10000,20,81287
kdtree,6,10000,20,121697
kdtree,7,10000,20,194018
kdtree,1,1000,30,106734
kdtree,2,1000,30,34320
kdtree,3,1000,30,26578
kdtree,4,1000,30,32877
kdtree,5,1000,30,39750
kdtree,6,1000,30,59384
kdtree,7,1000,30,85115
kdtree,1,2000,30,220688
kdtree,2,2000,30,49460
kdtree,3,2000,30,37425
kdtree,4,2000,30,41332
kdtree,5,2000,30,56972
kdtree,6,2000,30,79672
kdtree,7,2000,30,114050
kdtree,1,3000,30,323612
kdtree,2,3000,30,62901
kdtree,3,3000,30,41812
kdtree,4,3000,30,48282
kdtree,5,3000,30,64494
kdtree,6,3000,30,94250
kdtree,7,3000,30,138656
kdtree,1,4000,30,471859
kdtree,2,4000,30,79024
kdtree,3,4000,30,52060
kdtree,4,4000,30,55036
kdtree,5,4000,30,74117
kdtree,6,4000,30,106372
kdtree,7,4000,30,155959
kdtree,1,5000,30,557372
kdtree,2,5000,30,80387
kdtree,3,5000,30,53903
kdtree,4,5000,30,60848
kdtree,5,5000,30,77269
kdtree,6,5000,30,109848
kdtree,7,5000,30,167661
kdtree,1,6000,30,677447
kdtree,2,6000,30,90996
kdtree,3,6000,30,59001
kdtree,4,6000,30,62525
kdtree,5,6000,30,82651
kdtree,6,6000,30,123669
kdtree,7,6000,30,180226
kdtree,1,7000,30,780632
kdtree,2,7000,30,97063
kdtree,3,7000,30,60818
kdtree,4,7000,30,62860
kdtree,5,7000,30,90866
kdtree,6,7000,30,131010
kdtree,7,7000,30,203592
kdtree,1,8000,30,895306
kdtree,2,8000,30,105640
kdtree,3,8000,30,65664
kdtree,4,8000,30,66561
kdtree,5,8000,30,87023
kdtree,6,8000,30,131596
kdtree,7,8000,30,206479
kdtree,1,9000,30,943727
kdtree,2,9000,30,112839
kdtree,3,9000,30,67001
kdtree,4,9000,30,70604
kdtree,5,9000,30,94611
kdtree,6,9000,30,134813
kdtree,7,9000,30,216955
kdtree,1,10000,30,1115537
kdtree,2,10000,30,120097
kdtree,3,10000,30,69759
kdtree,4,10000,30,73754
kdtree,5,10000,30,97475
kdtree,6,10000,30,142763
kdtree,7,10000,30,228915
kdtree,1,1000,40,119525
kdtree,2,1000,40,39678
kdtree,3,1000,40,31924
kdtree,4,1000,40,38250
kdtree,5,1000,40,49571
kdtree,6,1000,40,66120
kdtree,7,1000,40,92358
kdtree,1,2000,40,237925
kdtree,2,2000,40,62207
kdtree,3,2000,40,42522
kdtree,4,2000,40,49321
kdtree,5,2000,40,67610
kdtree,6,2000,40,91930
kdtree,7,2000,40,128031
kdtree,1,3000,40,355678
kdtree,2,3000,40,70875
kdtree,3,3000,40,51733
kdtree,4,3000,40,60056
kdtree,5,3000,40,75683
kdtree,6,3000,40,117969
kdtree,7,3000,40,154604
kdtree,1,4000,40,457148
kdtree,2,4000,40,88793
kdtree,3,4000,40,59572
kdtree,4,4000,40,65884
kdtree,5,4000,40,83622
kdtree,6,4000,40,118021
kdtree,7,4000,40,168170
kdtree,1,5000,40,601781
kdtree,2,5000,40,99303
kdtree,3,5000,40,67159
kdtree,4,5000,40,69688
kdtree,5,5000,40,92234
kdtree,6,5000,40,128776
kdtree,7,5000,40,189358
kdtree,1,6000,40,711142
kdtree,2,6000,40,112728
kdtree,3,6000,40,68967
kdtree,4,6000,40,76528
kdtree,5,6000,40,99613
kdtree,6,6000,40,135940
kdtree,7,6000,40,214705
kdtree,1,7000,40,839190
kdtree,2,7000,40,116786
kdtree,3,7000,40,73473
kdtree,4,7000,40,79904
kdtree,5,7000,40,100188
kdtree,6,7000,40,149363
kdtree,7,7000,40,218798
kdtree,1,8000,40,954770
kdtree,2,8000,40,128228
kdtree,3,8000,40,80336
kdtree,4,8000,40,82814
kdtree,5,8000,40,109503
kdtree,6,8000,40,159621
kdtree,7,8000,40,238250
kdtree,1,9000,40,1075426
kdtree,2,9000,40,139258
kdtree,3,9000,40,83145
kdtree,4,9000,40,84035
kdtree,5,9000,40,109377
kdtree,6,9000,40,171127
kdtree,7,9000,40,251761
kdtree,1,10000,40,1179650
kdtree,2,10000,40,146173
kdtree,3,10000,40,88578
kdtree,4,10000,40,85934
kdtree,5,10000,40,107517
kdtree,6,10000,40,166284
kdtree,7,10000,40,245429
kdtree,1,1000,50,119301
kdtree,2,1000,50,45573
kdtree,3,1000,50,36531
kdtree,4,1000,50,44743
kdtree,5,1000,50,54389
kdtree,6,1000,50,74505
kdtree,7,1000,50,93978
kdtree,1,2000,50,242078
kdtree,2,2000,50,67121
kdtree,3,2000,50,50873
kdtree,4,2000,50,57490
kdtree,5,2000,50,75048
kdtree,6,2000,50,101792
kdtree,7,2000,50,136698
kdtree,1,3000,50,363084
kdtree,2,3000,50,82449
kdtree,3,3000,50,59806
kdtree,4,3000,50,67050
kdtree,5,3000,50,86274
kdtree,6,3000,50,121934
kdtree,7,3000,50,166850
kdtree,1,4000,50,483974
kdtree,2,4000,50,98115
kdtree,3,4000,50,68245
kdtree,4,4000,50,79823
kdtree,5,4000,50,96849
kdtree,6,4000,50,131741
kdtree,7,4000,50,186375
kdtree,1,5000,50,612649
kdtree,2,5000,50,112453
kdtree,3,5000,50,74727
kdtree,4,5000,50,78722
kdtree,5,5000,50,107429
kdtree,6,5000,50,144870
kdtree,7,5000,50,225374
kdtree,1,6000,50,708966
kdtree,2,6000,50,126654
kdtree,3,6000,50,82157
kdtree,4,6000,50,84587
kdtree,5,6000,50,106523
kdtree,6,6000,50,157748
kdtree,7,6000,50,234243
kdtree,1,7000,50,856169
kdtree,2,7000,50,139187
kdtree,3,7000,50,88170
kdtree,4,7000,50,94612
kdtree,5,7000,50,114264
kdtree,6,7000,50,166287
kdtree,7,7000,50,249848
kdtree,1,8000,50,968088
kdtree,2,8000,50,142559
kdtree,3,8000,50,92266
kdtree,4,8000,50,94882
kdtree,5,8000,50,120141
kdtree,6,8000,50,173462
kdtree,7,8000,50,255614
kdtree,1,9000,50,1065963
kdtree,2,9000,50,162284
kdtree,3,9000,50,96320
kdtree,4,9000,50,95494
kdtree,5,9000,50,124661
kdtree,6,9000,50,177201
kdtree,7,9000,50,271930
kdtree,1,10000,50,1200747
kdtree,2,10000,50,168836
kdtree,3,10000,50,103603
kdtree,4,10000,50,118012
kdtree,5,10000,50,136836
kdtree,6,10000,50,189051
kdtree,7,10000,50,276436
quadtree,2,1000,10,11394
quadtree,2,2000,10,16904
quadtree,2,3000,10,19487
quadtree,2,4000,10,26512
quadtree,2,5000,10,27914
quadtree,2,6000,10,31131
quadtree,2,7000,10,37390
quadtree,2,8000,10,37532
quadtree,2,9000,10,42922
quadtree,2,10000,10,39502
quadtree,2,1000,20,18069
quadtree,2,2000,20,25032
quadtree,2,3000,20,31358
quadtree,2,4000,20,36934
quadtree,2,5000,20,38873
quadtree,2,6000,20,43253
quadtree,2,7000,20,48356
quadtree,2,8000,20,57034
quadtree,2,9000,20,54495
quadtree,2,10000,20,60921
quadtree,2,1000,30,21007
quadtree,2,2000,30,30564
quadtree,2,3000,30,36332
quadtree,2,4000,30,42262
quadtree,2,5000,30,52073
quadtree,2,6000,30,51939
quadtree,2,7000,30,56170
quadtree,2,8000,30,61981
quadtree,2,9000,30,70959
quadtree,2,10000,30,69912
quadtree,2,1000,40,27905
quadtree,2,2000,40,39873
quadtree,2,3000,40,44624
quadtree,2,4000,40,53168
quadtree,2,5000,40,61585
quadtree,2,6000,40,62539
quadtree,2,7000,40,75390
quadtree,2,8000,40,78724
quadtree,2,9000,40,82598
quadtree,2,10000,40,87130
quadtree,2,1000,50,29833
quadtree,2,2000,50,41604
quadtree,2,3000,50,45215
quadtree,2,4000,50,58284
quadtree,2,5000,50,64758
quadtree,2,6000,50,84651
quadtree,2,7000,50,80383
quadtree,2,8000,50,89086
quadtree,2,9000,50,96019
quadtree,2,10000,50,100298
dumb,1,1000,10,18684
dumb,2,1000,10,27144
dumb,3,1000,10,34513
dumb,4,1000,10,45816
dumb,5,1000,10,52815
dumb,6,1000,10,61749
dumb,7,1000,10,66465
dumb,1,2000,10,36113
dumb,2,2000,10,51414
dumb,3,2000,10,63541
dumb,4,2000,10,83311
dumb,5,2000,10,104027
dumb,6,2000,10,121163
dumb,7,2000,10,130101
dumb,1,3000,10,53701
dumb,2,3000,10,74490
dumb,3,3000,10,94518
dumb,4,3000,10,124816
dumb,5,3000,10,149462
dumb,6,3000,10,174685
dumb,7,3000,10,195189
dumb,1,4000,10,70530
dumb,2,4000,10,99796
dumb,3,4000,10,125196
dumb,4,4000,10,161388
dumb,5,4000,10,199574
dumb,6,4000,10,232922
dumb,7,4000,10,257712
dumb,1,5000,10,88232
dumb,2,5000,10,124512
dumb,3,5000,10,154674
dumb,4,5000,10,201954
dumb,5,5000,10,248887
dumb,6,5000,10,283012
dumb,7,5000,10,326168
dumb,1,6000,10,108988
dumb,2,6000,10,155438
dumb,3,6000,10,193416
dumb,4,6000,10,245300
dumb,5,6000,10,297085
dumb,6,6000,10,347465
dumb,7,6000,10,385502
dumb,1,7000,10,122195
dumb,2,7000,10,176435
dumb,3,7000,10,216518
dumb,4,7000,10,280947
dumb,5,7000,10,345339
dumb,6,7000,10,402596
dumb,7,7000,10,447525
dumb,1,8000,10,142189
dumb,2,8000,10,202075
dumb,3,8000,10,247414
dumb,4,8000,10,328953
dumb,5,8000,10,397022
dumb,6,8000,10,452210
dumb,7,8000,10,512838
dumb,1,9000,10,157332
dumb,2,9000,10,220865
dumb,3,9000,10,279599
dumb,4,9000,10,357518
dumb,5,9000,10,440541
dumb,6,9000,10,557166
dumb,7,9000,10,626527
dumb,1,10000,10,186928
dumb,2,10000,10,266397
dumb,3,10000,10,348930
dumb,4,10000,10,419458
dumb,5,10000,10,502394
dumb,6,10000,10,577011
dumb,7,10000,10,657699
dumb,1,1000,20,22799
dumb,2,1000,20,31681
dumb,3,1000,20,40270
dumb,4,1000,20,49629
dumb,5,1000,20,60514
dumb,6,1000,20,70492
dumb,7,1000,20,77991
dumb,1,2000,20,41528
dumb,2,2000,20,59626
dumb,3,2000,20,75117
dumb,4,2000,20,96834
dumb,5,2000,20,116216
dumb,6,2000,20,131708
dumb,7,2000,20,149170
dumb,1,3000,20,56928
dumb,2,3000,20,84370
dumb,3,3000,20,102728
dumb,4,3000,20,139215
dumb,5,3000,20,175039
dumb,6,3000,20,203372
dumb,7,3000,20,214054
dumb,1,4000,20,77788
dumb,2,4000,20,108050
dumb,3,4000,20,135185
dumb,4,4000,20,177233
dumb,5,4000,20,220903
dumb,6,4000,20,243355
dumb,7,4000,20,274206
dumb,1,5000,20,97960
dumb,2,5000,20,132355
dumb,3,5000,20,188476
dumb,4,5000,20,212639
dumb,5,5000,20,269238
dumb,6,5000,20,334864
dumb,7,5000,20,365484
dumb,1,6000,20,119466
dumb,2,6000,20,161329
dumb,3,6000,20,202287
dumb,4,6000,20,273058
dumb,5,6000,20,338789
dumb,6,6000,20,368097
dumb,7,6000,20,430276
dumb,1,7000,20,137711
dumb,2,7000,20,194499
dumb,3,7000,20,246009
dumb,4,7000,20,311371
dumb,5,7000,20,383743
dumb,6,7000,20,440017
dumb,7,7000,20,491168
dumb,1,8000,20,159354
dumb,2,8000,20,215406
dumb,3,8000,20,267782
dumb,4,8000,20,349616
dumb,5,8000,20,435001
dumb,6,8000,20,533502
dumb,7,8000,20,620684
dumb,1,9000,20,198103
dumb,2,9000,20,285044
dumb,3,9000,20,340952
dumb,4,9000,20,450567
dumb,5,9000,20,534902
dumb,6,9000,20,617848
dumb,7,9000,20,677271
dumb,1,10000,20,211840
dumb,2,10000,20,296263
dumb,3,10000,20,376749
dumb,4,10000,20,521351
dumb,5,10000,20,599554
dumb,6,10000,20,671449
dumb,7,10000,20,741847
dumb,1,1000,30,25911
dumb,2,1000,30,36207
dumb,3,1000,30,46761
dumb,4,1000,30,57290
dumb,5,1000,30,71187
dumb,6,1000,30,80867
dumb,7,1000,30,90408
dumb,1,2000,30,48150
dumb,2,2000,30,66784
dumb,3,2000,30,88297
dumb,4,2000,30,106922
dumb,5,2000,30,133534
dumb,6,2000,30,154400
dumb,7,2000,30,179369
dumb,1,3000,30,67503
dumb,2,3000,30,95426
dumb,3,3000,30,122235
dumb,4,3000,30,156725
dumb,5,3000,30,188031
dumb,6,3000,30,214471
dumb,7,3000,30,238516
dumb,1,4000,30,86702
dumb,2,4000,30,126623
dumb,3,4000,30,149328
dumb,4,4000,30,192193
dumb,5,4000,30,234462
dumb,6,4000,30,286048
dumb,7,4000,30,309398
dumb,1,5000,30,104404
dumb,2,5000,30,147865
dumb,3,5000,30,182827
dumb,4,5000,30,232326
dumb,5,5000,30,286152
dumb,6,5000,30,337196
dumb,7,5000,30,363831
dumb,1,6000,30,116632
dumb,2,6000,30,171858
dumb,3,6000,30,207277
dumb,4,6000,30,271333
dumb,5,6000,30,364647
dumb,6,6000,30,389705
dumb,7,6000,30,435927
dumb,1,7000,30,141334
dumb,2,7000,30,199574
dumb,3,7000,30,309465
dumb,4,7000,30,320348
dumb,5,7000,30,388341
dumb,6,7000,30,449702
dumb,7,7000,30,519335
dumb,1,8000,30,168853
dumb,2,8000,30,236761
dumb,3,8000,30,292008
dumb,4,8000,30,383593
dumb,5,8000,30,465767
dumb,6,8000,30,542888
dumb,7,8000,30,594465
dumb,1,9000,30,187351
dumb,2,9000,30,270790
dumb,3,9000,30,330781
dumb,4,9000,30,419264
dumb,5,9000,30,524767
dumb,6,9000,30,599235
dumb,7,9000,30,689924
dumb,1,10000,30,213969
dumb,2,10000,30,297935
dumb,3,10000,30,375179
dumb,4,10000,30,480875
dumb,5,10000,30,599700
dumb,6,10000,30,677602
dumb,7,10000,30,752352
dumb,1,1000,40,24801
dumb,2,1000,40,40205
dumb,3,1000,40,49254
dumb,4,1000,40,59700
dumb,5,1000,40,71515
dumb,6,1000,40,83548
dumb,7,1000,40,93986
dumb,1,2000,40,49264
dumb,2,2000,40,70403
dumb,3,2000,40,90473
dumb,4,2000,40,115593
dumb,5,2000,40,130897
dumb,6,2000,40,159979
dumb,7,2000,40,175723
dumb,1,3000,40,68334
dumb,2,3000,40,96578
dumb,3,3000,40,126633
dumb,4,3000,40,161267
dumb,5,3000,40,190492
dumb,6,3000,40,215365
dumb,7,3000,40,244724
dumb,1,4000,40,93537
dumb,2,4000,40,123675
dumb,3,4000,40,162859
dumb,4,4000,40,201525
dumb,5,4000,40,249361
dumb,6,4000,40,288282
dumb,7,4000,40,328953
dumb,1,5000,40,111467
dumb,2,5000,40,156211
dumb,3,5000,40,197431
dumb,4,5000,40,252552
dumb,5,5000,40,299360
dumb,6,5000,40,354019
dumb,7,5000,40,392696
dumb,1,6000,40,127977
dumb,2,6000,40,190637
dumb,3,6000,40,230833
dumb,4,6000,40,298346
dumb,5,6000,40,359038
dumb,6,6000,40,411926
dumb,7,6000,40,470374
dumb,1,7000,40,147905
dumb,2,7000,40,210809
dumb,3,7000,40,274976
dumb,4,7000,40,353557
dumb,5,7000,40,412561
dumb,6,7000,40,489903
dumb,7,7000,40,536021
dumb,1,8000,40,169096
dumb,2,8000,40,234566
dumb,3,8000,40,299980
dumb,4,8000,40,392080
dumb,5,8000,40,474147
dumb,6,8000,40,553002
dumb,7,8000,40,620050
dumb,1,9000,40,190702
dumb,2,9000,40,261429
dumb,3,9000,40,335263
dumb,4,9000,40,442576
dumb,5,9000,40,534472
dumb,6,9000,40,613387
dumb,7,9000,40,690908
dumb,1,10000,40,208739
dumb,2,10000,40,289760
dumb,3,10000,40,371779
dumb,4,10000,40,470518
dumb,5,10000,40,614222
dumb,6,10000,40,671612
dumb,7,10000,40,744180
dumb,1,1000,50,26166
dumb,2,1000,50,37149
dumb,3,1000,50,45586
dumb,4,1000,50,60678
dumb,5,1000,50,73737
dumb,6,1000,50,83788
dumb,7,1000,50,95552
dumb,1,2000,50,50086
dumb,2,2000,50,68139
dumb,3,2000,50,85224
dumb,4,2000,50,115161
dumb,5,2000,50,131565
dumb,6,2000,50,157964
dumb,7,2000,50,178795
dumb,1,3000,50,71699
dumb,2,3000,50,102313
dumb,3,3000,50,125916
dumb,4,3000,50,159880
dumb,5,3000,50,195039
dumb,6,3000,50,235059
dumb,7,3000,50,252767
dumb,1,4000,50,90851
dumb,2,4000,50,125233
dumb,3,4000,50,167520
dumb,4,4000,50,218315
dumb,5,4000,50,257392
dumb,6,4000,50,298246
dumb,7,4000,50,320779
dumb,1,5000,50,110127
dumb,2,5000,50,165929
dumb,3,5000,50,205335
dumb,4,5000,50,262963
dumb,5,5000,50,301742
dumb,6,5000,50,356415
dumb,7,5000,50,404078
dumb,1,6000,50,132144
dumb,2,6000,50,194658
dumb,3,6000,50,233486
dumb,4,6000,50,299226
dumb,5,6000,50,364432
dumb,6,6000,50,418315
dumb,7,6000,50,478457
dumb,1,7000,50,155299
dumb,2,7000,50,210977
dumb,3,7000,50,276675
dumb,4,7000,50,346093
dumb,5,7000,50,445441
dumb,6,7000,50,491294
dumb,7,7000,50,548724
dumb,1,8000,50,172143
dumb,2,8000,50,245570
dumb,3,8000,50,308097
dumb,4,8000,50,402375
dumb,5,8000,50,473477
dumb,6,8000,50,554934
dumb,7,8000,50,608818
dumb,1,9000,50,192473
dumb,2,9000,50,276438
dumb,3,9000,50,339179
dumb,4,9000,50,438803
dumb,5,9000,50,545387
dumb,6,9000,50,662173
dumb,7,9000,50,718898
dumb,1,10000,50,219927
dumb,2,10000,50,311540
dumb,3,10000,50,391393
dumb,4,10000,50,505461
dumb,5,10000,50,616244
dumb,6,10000,50,710388
dumb,7,10000,50,793850
bucket,1,1000,10,3745
bucket,2,1000,10,19422
bucket,3,1000,10,57263
bucket,4,1000,10,73676
bucket,5,1000,10,119230
bucket,6,1000,10,118452
bucket,7,1000,10,143978
bucket,1,2000,10,5106
bucket,2,2000,10,34117
bucket,3,2000,10,77062
bucket,4,2000,10,163187
bucket,5,2000,10,220422
bucket,6,2000,10,253945
bucket,7,2000,10,285404
bucket,1,3000,10,6068
bucket,2,3000,10,39085
bucket,3,3000,10,115855
bucket,4,3000,10,218525
bucket,5,3000,10,345807
bucket,6,3000,10,353703
bucket,7,3000,10,406242
bucket,1,4000,10,7814
bucket,2,4000,10,44819
bucket,3,4000,10,186146
bucket,4,4000,10,312516
bucket,5,4000,10,431552
bucket,6,4000,10,499450
bucket,7,4000,10,532976
bucket,1,5000,10,8347
bucket,2,5000,10,56851
bucket,3,5000,10,157616
bucket,4,5000,10,411747
bucket,5,5000,10,545457
bucket,6,5000,10,625711
bucket,7,5000,10,685164
bucket,1,6000,10,9791
bucket,2,6000,10,51675
bucket,3,6000,10,221030
bucket,4,6000,10,490233
bucket,5,6000,10,523952
bucket,6,6000,10,754582
bucket,7,6000,10,783497
bucket,1,7000,10,10297
bucket,2,7000,10,62950
bucket,3,7000,10,248491
bucket,4,7000,10,442160
bucket,5,7000,10,653107
bucket,6,7000,10,855999
bucket,7,7000,10,956943
bucket,1,8000,10,10161
bucket,2,8000,10,66810
bucket,3,8000,10,277995
bucket,4,8000,10,487868
bucket,5,8000,10,684366
bucket,6,8000,10,947722
bucket,7,8000,10,1077382
bucket,1,9000,10,11259
bucket,2,9000,10,76595
bucket,3,9000,10,329535
bucket,4,9000,10,544267
bucket,5,9000,10,775707
bucket,6,9000,10,1071554
bucket,7,9000,10,1172143
bucket,1,10000,10,10426
bucket,2,10000,10,74680
bucket,3,10000,10,322175
bucket,4,10000,10,635198
bucket,5,10000,10,826384
bucket,6,10000,10,1192201
bucket,7,10000,10,1327640
bucket,1,1000,20,3748
bucket,2,1000,20,19206
bucket,3,1000,20,70985
bucket,4,1000,20,72678
bucket,5,1000,20,96413
bucket,6,1000,20,121286
bucket,7,1000,20,135291
bucket,1,2000,20,5216
bucket,2,2000,20,30257
bucket,3,2000,20,76313
bucket,4,2000,20,140110
bucket,5,2000,20,204268
bucket,6,2000,20,228913
bucket,7,2000,20,247134
bucket,1,3000,20,5927
bucket,2,3000,20,48090
bucket,3,3000,20,115875
bucket,4,3000,20,241699
bucket,5,3000,20,329009
bucket,6,3000,20,390090
bucket,7,3000,20,418899
bucket,1,4000,20,10106
bucket,2,4000,20,46111
bucket,3,4000,20,183358
bucket,4,4000,20,325115
bucket,5,4000,20,456352
bucket,6,4000,20,520879
bucket,7,4000,20,588109
bucket,1,5000,20,8973
bucket,2,5000,20,61423
bucket,3,5000,20,203612
bucket,4,5000,20,431905
bucket,5,5000,20,616435
bucket,6,5000,20,722222
bucket,7,5000,20,835414
bucket,1,6000,20,13299
bucket,2,6000,20,75986
bucket,3,6000,20,255739
bucket,4,6000,20,546437
bucket,5,6000,20,660601
bucket,6,6000,20,870475
bucket,7,6000,20,935946
bucket,1,7000,20,10822
bucket,2,7000,20,74138
bucket,3,7000,20,288808
bucket,4,7000,20,494350
bucket,5,7000,20,728931
bucket,6,7000,20,1038544
bucket,7,7000,20,1166852
bucket,1,8000,20,12134
bucket,2,8000,20,87081
bucket,3,8000,20,346515
bucket,4,8000,20,577179
bucket,5,8000,20,788351
bucket,6,8000,20,1086645
bucket,7,8000,20,1194754
bucket,1,9000,20,12470
bucket,2,9000,20,81514
bucket,3,9000,20,370036
bucket,4,9000,20,619698
bucket,5,9000,20,795768
bucket,6,9000,20,1182512
bucket,7,9000,20,1370431
bucket,1,10000,20,14080
bucket,2,10000,20,83848
bucket,3,10000,20,374520
bucket,4,10000,20,644467
bucket,5,10000,20,921762
bucket,6,10000,20,1310012
bucket,7,10000,20,1396166
bucket,1,1000,30,3971
bucket,2,1000,30,31940
bucket,3,1000,30,54302
bucket,4,1000,30,71315
bucket,5,1000,30,115190
bucket,6,1000,30,113393
bucket,7,1000,30,138374
bucket,1,2000,30,5253
bucket,2,2000,30,29452
bucket,3,2000,30,71322
bucket,4,2000,30,158146
bucket,5,2000,30,224335
bucket,6,2000,30,235624
bucket,7,2000,30,269664
bucket,1,3000,30,6954
bucket,2,3000,30,29976
bucket,3,3000,30,108914
bucket,4,3000,30,251148
bucket,5,3000,30,326198
bucket,6,3000,30,351162
bucket,7,3000,30,419196
bucket,1,4000,30,8594
bucket,2,4000,30,42779
bucket,3,4000,30,161006
bucket,4,4000,30,327755
bucket,5,4000,30,453986
bucket,6,4000,30,490809
bucket,7,4000,30,567985
bucket,1,5000,30,8442
bucket,2,5000,30,54485
bucket,3,5000,30,187552
bucket,4,5000,30,412738
bucket,5,5000,30,571767
bucket,6,5000,30,626601
bucket,7,5000,30,678949
bucket,1,6000,30,9427
bucket,2,6000,30,70504
bucket,3,6000,30,188754
bucket,4,6000,30,565981
bucket,5,6000,30,605285
bucket,6,6000,30,905330
bucket,7,6000,30,965308
bucket,1,7000,30,10244
bucket,2,7000,30,61712
bucket,3,7000,30,254252
bucket,4,7000,30,482138
bucket,5,7000,30,745146
bucket,6,7000,30,1159996
bucket,7,7000,30,1189060
bucket,1,8000,30,11929
bucket,2,8000,30,67330
bucket,3,8000,30,281409
bucket,4,8000,30,528269
bucket,5,8000,30,765741
bucket,6,8000,30,1062190
bucket,7,8000,30,1177655
bucket,1,9000,30,12547
bucket,2,9000,30,76940
bucket,3,9000,30,348274
bucket,4,9000,30,629448
bucket,5,9000,30,872953
bucket,6,9000,30,1231138
bucket,7,9000,30,1347249
bucket,1,10000,30,12484
bucket,2,10000,30,99998
bucket,3,10000,30,381666
bucket,4,10000,30,670927
bucket,5,10000,30,989273
bucket,6,10000,30,1511907
bucket,7,10000,30,1489056
bucket,1,1000,40,5107
bucket,2,1000,40,19460
bucket,3,1000,40,57475
bucket,4,1000,40,95356
bucket,5,1000,40,105776
bucket,6,1000,40,137437
bucket,7,1000,40,150769
bucket,1,2000,40,6396
bucket,2,2000,40,34560
bucket,3,2000,40,84051
bucket,4,2000,40,186181
bucket,5,2000,40,231117
