Test, Size, Time
Middle Pivot - Worst Case,1200100,65203713
Random Pivot - Worst Case,1200100,237304066
End Pivot - Worst Case,1200100,61676925
Mergesort - Best Case,1200100,152455219
Mergesort - Average Case,1200100,155405922
Mergesort - Worst Case,1200100,165609664
Middle Pivot - Worst Case,1250100,51219972
Random Pivot - Worst Case,1250100,231932910
End Pivot - Worst Case,1250100,66659783
Mergesort - Best Case,1250100,169900839
Mergesort - Average Case,1250100,165734957
Mergesort - Worst Case,1250100,158878951
Middle Pivot - Worst Case,1300100,74687578
Random Pivot - Worst Case,1300100,256334306
End Pivot - Worst Case,1300100,71988329
Mergesort - Best Case,1300100,207213328
Mergesort - Average Case,1300100,197152247
Mergesort - Worst Case,1300100,186474513
Middle Pivot - Worst Case,1350100,81818488
Random Pivot - Worst Case,1350100,258258690
End Pivot - Worst Case,1350100,69443949
Mergesort - Best Case,1350100,237077843
Mergesort - Average Case,1350100,227194693
Mergesort - Worst Case,1350100,215796623
Middle Pivot - Worst Case,1400100,62286541
Random Pivot - Worst Case,1400100,262925159
End Pivot - Worst Case,1400100,70372665
Mergesort - Best Case,1400100,274858658
Mergesort - Average Case,1400100,245468262
Mergesort - Worst Case,1400100,238172490
Middle Pivot - Worst Case,1450100,66620711
Random Pivot - Worst Case,1450100,279358960
End Pivot - Worst Case,1450100,77260432
Mergesort - Best Case,1450100,294514485
Mergesort - Average Case,1450100,248520785
Mergesort - Worst Case,1450100,237554893
Middle Pivot - Worst Case,1500100,74824483
Random Pivot - Worst Case,1500100,280624876
End Pivot - Worst Case,1500100,75193348
Mergesort - Best Case,1500100,287204090
Mergesort - Average Case,1500100,253320529
Mergesort - Worst Case,1500100,239202042
Middle Pivot - Worst Case,1550100,69808272
Random Pivot - Worst Case,1550100,286452665
End Pivot - Worst Case,1550100,78628227
Mergesort - Best Case,1550100,303911712
Mergesort - Average Case,1550100,264678909
Mergesort - Worst Case,1550100,249498789
Middle Pivot - Worst Case,1600100,72281814
Random Pivot - Worst Case,1600100,304204083
End Pivot - Worst Case,1600100,85709299
Mergesort - Best Case,1600100,318769928
Mergesort - Average Case,1600100,277236555
Mergesort - Worst Case,1600100,255631465
Middle Pivot - Worst Case,1650100,75820569
Random Pivot - Worst Case,1650100,317571900
End Pivot - Worst Case,1650100,83076559
Mergesort - Best Case,1650100,313642619
Mergesort - Average Case,1650100,275968883
Mergesort - Worst Case,1650100,264562112
Middle Pivot - Worst Case,1700100,75298678
Random Pivot - Worst Case,1700100,317059448
End Pivot - Worst Case,1700100,86290734
Mergesort - Best Case,1700100,336045209
Mergesort - Average Case,1700100,294912075
Mergesort - Worst Case,1700100,286428997
Middle Pivot - Worst Case,1750100,77022062
Random Pivot - Worst Case,1750100,341119871
End Pivot - Worst Case,1750100,91813792
Mergesort - Best Case,1750100,360736991
Mergesort - Average Case,1750100,305079822
Mergesort - Worst Case,1750100,290553902
Middle Pivot - Worst Case,1800100,82642208
Random Pivot - Worst Case,1800100,340283767
End Pivot - Worst Case,1800100,88475973
Mergesort - Best Case,1800100,374890492
Mergesort - Average Case,1800100,314319864
Mergesort - Worst Case,1800100,291480045
Middle Pivot - Worst Case,1850100,80236835
Random Pivot - Worst Case,1850100,349673585
End Pivot - Worst Case,1850100,92636487
Mergesort - Best Case,1850100,362053665
Mergesort - Average Case,1850100,307768598
Mergesort - Worst Case,1850100,293588978
Middle Pivot - Worst Case,1900100,81820009
Random Pivot - Worst Case,1900100,365199126
End Pivot - Worst Case,1900100,112819530
Mergesort - Best Case,1900100,403422598
Mergesort - Average Case,1900100,330915201
Mergesort - Worst Case,1900100,326107132
Middle Pivot - Worst Case,1950100,93126663
Random Pivot - Worst Case,1950100,384058868
End Pivot - Worst Case,1950100,96442901
Mergesort - Best Case,1950100,423562487
Mergesort - Average Case,1950100,341643289
Mergesort - Worst Case,1950100,312246890
Middle Pivot - Worst Case,2000100,87401902
Random Pivot - Worst Case,2000100,393156302
End Pivot - Worst Case,2000100,102464225
Mergesort - Best Case,2000100,419346871
Mergesort - Average Case,2000100,348483760
Mergesort - Worst Case,2000100,327284637
Middle Pivot - Worst Case,2050100,89327966
Random Pivot - Worst Case,2050100,422110973
End Pivot - Worst Case,2050100,107409910
Mergesort - Best Case,2050100,422791707
Mergesort - Average Case,2050100,366560977
Mergesort - Worst Case,2050100,327589120
Middle Pivot - Worst Case,2100100,95906351
Random Pivot - Worst Case,2100100,417546368
End Pivot - Worst Case,2100100,103624165
Mergesort - Best Case,2100100,446207216
Mergesort - Average Case,2100100,360922374
Mergesort - Worst Case,2100100,341365862
Middle Pivot - Worst Case,2150100,97860145
Random Pivot - Worst Case,2150100,413687230
End Pivot - Worst Case,2150100,104759223
Mergesort - Best Case,2150100,427992584
Mergesort - Average Case,2150100,361510131
Mergesort - Worst Case,2150100,340988959
Middle Pivot - Worst Case,2200100,102564046
Random Pivot - Worst Case,2200100,429398969
End Pivot - Worst Case,2200100,108735491
