Test,Size,Time
End Pivot - Worst Case,47100,1522809
Middle Pivot - Worst Case,48100,1642268
Random Pivot - Worst Case,48100,1541424
End Pivot - Worst Case,48100,1570922
Middle Pivot - Worst Case,49100,1615899
Random Pivot - Worst Case,49100,1601295
End Pivot - Worst Case,49100,1575785
Middle Pivot - Worst Case,50100,1652477
Random Pivot - Worst Case,50100,1558114
End Pivot - Worst Case,50100,1588192
Middle Pivot - Worst Case,51100,1627022
Random Pivot - Worst Case,51100,1567518
End Pivot - Worst Case,51100,1676074
Middle Pivot - Worst Case,52100,1704487
Random Pivot - Worst Case,52100,1603582
End Pivot - Worst Case,52100,1629431
Middle Pivot - Worst Case,53100,1695468
Random Pivot - Worst Case,53100,1658931
End Pivot - Worst Case,53100,1745656
Middle Pivot - Worst Case,54100,1721680
Random Pivot - Worst Case,54100,1643379
End Pivot - Worst Case,54100,1730462
Middle Pivot - Worst Case,55100,1742486
Random Pivot - Worst Case,55100,1705341
End Pivot - Worst Case,55100,1789301
Middle Pivot - Worst Case,56100,1779453
Random Pivot - Worst Case,56100,1737693
End Pivot - Worst Case,56100,1884332
Middle Pivot - Worst Case,57100,1791579
Random Pivot - Worst Case,57100,1901707
End Pivot - Worst Case,57100,1803245
Middle Pivot - Worst Case,58100,1854525
Random Pivot - Worst Case,58100,1811860
End Pivot - Worst Case,58100,1845973
Middle Pivot - Worst Case,59100,1945935
Random Pivot - Worst Case,59100,1793257
End Pivot - Worst Case,59100,1819723
Middle Pivot - Worst Case,60100,1861521
Random Pivot - Worst Case,60100,1815041
End Pivot - Worst Case,60100,1914365
Middle Pivot - Worst Case,61100,1890618
Random Pivot - Worst Case,61100,1835398
End Pivot - Worst Case,61100,1961256
Middle Pivot - Worst Case,62100,1938535
Random Pivot - Worst Case,62100,1949888
End Pivot - Worst Case,62100,1961507
Middle Pivot - Worst Case,63100,2266651
Random Pivot - Worst Case,63100,2133596
End Pivot - Worst Case,63100,1999727
Middle Pivot - Worst Case,64100,2140599
Random Pivot - Worst Case,64100,1987288
End Pivot - Worst Case,64100,2062741
Middle Pivot - Worst Case,65100,2109425
Random Pivot - Worst Case,65100,1998783
End Pivot - Worst Case,65100,2035920
Middle Pivot - Worst Case,66100,2107865
Random Pivot - Worst Case,66100,2055735
End Pivot - Worst Case,66100,2126046
Middle Pivot - Worst Case,67100,2150375
Random Pivot - Worst Case,67100,2086085
End Pivot - Worst Case,67100,2253425
Middle Pivot - Worst Case,68100,2150112
Random Pivot - Worst Case,68100,2118848
End Pivot - Worst Case,68100,2162997
Middle Pivot - Worst Case,69100,2239202
Random Pivot - Worst Case,69100,2160937
End Pivot - Worst Case,69100,2297713
Middle Pivot - Worst Case,70100,2508154
Random Pivot - Worst Case,70100,2332566
End Pivot - Worst Case,70100,2357684
Middle Pivot - Worst Case,71100,2296460
Random Pivot - Worst Case,71100,2272250
End Pivot - Worst Case,71100,2266409
Middle Pivot - Worst Case,72100,2505020
Random Pivot - Worst Case,72100,2350123
End Pivot - Worst Case,72100,2625858
