Test,Size,Time
Random Pivot - Worst Case,437100,20073437
End Pivot - Worst Case,437100,19393572
Middle Pivot - Worst Case,438100,25478597
Random Pivot - Worst Case,438100,19689059
End Pivot - Worst Case,438100,20912477
Middle Pivot - Worst Case,439100,25092555
Random Pivot - Worst Case,439100,20958880
End Pivot - Worst Case,439100,20362128
Middle Pivot - Worst Case,440100,25010980
Random Pivot - Worst Case,440100,20507441
End Pivot - Worst Case,440100,21038206
Middle Pivot - Worst Case,441100,24597805
Random Pivot - Worst Case,441100,19885955
End Pivot - Worst Case,441100,20121510
Middle Pivot - Worst Case,442100,25546592
Random Pivot - Worst Case,442100,19973434
End Pivot - Worst Case,442100,19799214
Middle Pivot - Worst Case,443100,24893684
Random Pivot - Worst Case,443100,20084094
End Pivot - Worst Case,443100,21120240
Middle Pivot - Worst Case,444100,24984292
Random Pivot - Worst Case,444100,20744941
End Pivot - Worst Case,444100,20812250
Middle Pivot - Worst Case,445100,25028815
Random Pivot - Worst Case,445100,20535775
End Pivot - Worst Case,445100,21035961
Middle Pivot - Worst Case,446100,26237787
Random Pivot - Worst Case,446100,20750750
End Pivot - Worst Case,446100,20668409
Middle Pivot - Worst Case,447100,24715826
Random Pivot - Worst Case,447100,20935918
End Pivot - Worst Case,447100,19869488
Middle Pivot - Worst Case,448100,24304665
Random Pivot - Worst Case,448100,19619776
End Pivot - Worst Case,448100,19462646
Middle Pivot - Worst Case,449100,25085687
Random Pivot - Worst Case,449100,19705652
End Pivot - Worst Case,449100,19930964
Middle Pivot - Worst Case,450100,26147443
Random Pivot - Worst Case,450100,20509261
End Pivot - Worst Case,450100,20095786
Middle Pivot - Worst Case,451100,24887910
Random Pivot - Worst Case,451100,19915550
End Pivot - Worst Case,451100,20285558
Middle Pivot - Worst Case,452100,24477354
Random Pivot - Worst Case,452100,19629319
End Pivot - Worst Case,452100,20367655
Middle Pivot - Worst Case,453100,25116592
Random Pivot - Worst Case,453100,20614352
End Pivot - Worst Case,453100,20433588
Middle Pivot - Worst Case,454100,25787158
Random Pivot - Worst Case,454100,20444609
End Pivot - Worst Case,454100,21299754
Middle Pivot - Worst Case,455100,25904911
Random Pivot - Worst Case,455100,21040859
End Pivot - Worst Case,455100,21081105
Middle Pivot - Worst Case,456100,24830572
Random Pivot - Worst Case,456100,19833097
End Pivot - Worst Case,456100,20548745
Middle Pivot - Worst Case,457100,25186510
Random Pivot - Worst Case,457100,20695759
End Pivot - Worst Case,457100,20241827
Middle Pivot - Worst Case,458100,26250885
Random Pivot - Worst Case,458100,20646932
End Pivot - Worst Case,458100,20587612
Middle Pivot - Worst Case,459100,25200846
Random Pivot - Worst Case,459100,19924448
End Pivot - Worst Case,459100,20215314
Middle Pivot - Worst Case,460100,25253988
Random Pivot - Worst Case,460100,20525258
End Pivot - Worst Case,460100,20266909
Middle Pivot - Worst Case,461100,25412395
Random Pivot - Worst Case,461100,20151650
End Pivot - Worst Case,461100,20435672
Middle Pivot - Worst Case,462100,27257827
Random Pivot - Worst Case,462100,21065410
End Pivot - Worst Case,462100,20237491
Middle Pivot - Worst Case,463100,25184395
Random Pivot - Worst Case,463100,19871773
End Pivot - Worst Case,463100,20842737
Middle Pivot - Worst Case,464100,25478971
Random Pivot - Worst Case,464100,20163766
End Pivot - Worst Case,464100,20363641
Middle Pivot - Worst Case,465100,25650708
Random Pivot - Worst Case,465100,20203804
End Pivot - Worst Case,465100,20560696
Middle Pivot - Worst Case,466100,26266259
Random Pivot - Worst Case,466100,20548677
End Pivot - Worst Case,466100,20541558
Middle Pivot - Worst Case,467100,25302219
Random Pivot - Worst Case,467100,20277057
End Pivot - Worst Case,467100,20599279
Middle Pivot - Worst Case,468100,25375840
Random Pivot - Worst Case,468100,20186941
End Pivot - Worst Case,468100,20299731
Middle Pivot - Worst Case,469100,25731400
Random Pivot - Worst Case,469100,20112195
End Pivot - Worst Case,469100,21601853
Middle Pivot - Worst Case,470100,26626918
Random Pivot - Worst Case,470100,21527634
End Pivot - Worst Case,470100,20630283
Middle Pivot - Worst Case,471100,26009517
Random Pivot - Worst Case,471100,20842855
End Pivot - Worst Case,471100,21033638
Middle Pivot - Worst Case,472100,25450396
Random Pivot - Worst Case,472100,20257392
End Pivot - Worst Case,472100,20830595
Middle Pivot - Worst Case,473100,25593523
Random Pivot - Worst Case,473100,21268204
End Pivot - Worst Case,473100,20615594
Middle Pivot - Worst Case,474100,26569781
Random Pivot - Worst Case,474100,20605283
End Pivot - Worst Case,474100,20361079
Middle Pivot - Worst Case,475100,25810929
Random Pivot - Worst Case,475100,21316178
End Pivot - Worst Case,475100,21155470
Middle Pivot - Worst Case,476100,25898121
Random Pivot - Worst Case,476100,21910171
End Pivot - Worst Case,476100,21668525
Middle Pivot - Worst Case,477100,26171944
Random Pivot - Worst Case,477100,21809641
End Pivot - Worst Case,477100,21759491
Middle Pivot - Worst Case,478100,26838978
Random Pivot - Worst Case,478100,20734383
End Pivot - Worst Case,478100,20855395
Middle Pivot - Worst Case,479100,25904588
Random Pivot - Worst Case,479100,21100268
End Pivot - Worst Case,479100,20655567
Middle Pivot - Worst Case,480100,25664940
Random Pivot - Worst Case,480100,20921696
End Pivot - Worst Case,480100,20914823
Middle Pivot - Worst Case,481100,26038736
Random Pivot - Worst Case,481100,20715430
End Pivot - Worst Case,481100,21014306
Middle Pivot - Worst Case,482100,27134009
Random Pivot - Worst Case,482100,21563285
End Pivot - Worst Case,482100,22429217
Middle Pivot - Worst Case,483100,26168437
Random Pivot - Worst Case,483100,21053247
End Pivot - Worst Case,483100,21727854
Middle Pivot - Worst Case,484100,25984956
Random Pivot - Worst Case,484100,20740868
End Pivot - Worst Case,484100,20945848
Middle Pivot - Worst Case,485100,26410101
Random Pivot - Worst Case,485100,20860365
End Pivot - Worst Case,485100,20924842
Middle Pivot - Worst Case,486100,27248453
Random Pivot - Worst Case,486100,20984953
End Pivot - Worst Case,486100,21223397
Middle Pivot - Worst Case,487100,26454736
Random Pivot - Worst Case,487100,21073029
End Pivot - Worst Case,487100,21085157
Middle Pivot - Worst Case,488100,26168766
Random Pivot - Worst Case,488100,21059350
End Pivot - Worst Case,488100,22259568
Middle Pivot - Worst Case,489100,26031584
Random Pivot - Worst Case,489100,20962381
End Pivot - Worst Case,489100,22396051
Middle Pivot - Worst Case,490100,27681551
Random Pivot - Worst Case,490100,21227790
End Pivot - Worst Case,490100,21368535
Middle Pivot - Worst Case,491100,26782911
Random Pivot - Worst Case,491100,21749242
End Pivot - Worst Case,491100,21133390
Middle Pivot - Worst Case,492100,26391110
Random Pivot - Worst Case,492100,20834320
End Pivot - Worst Case,492100,22015351
Middle Pivot - Worst Case,493100,26838697
Random Pivot - Worst Case,493100,21357264
End Pivot - Worst Case,493100,21628424
Middle Pivot - Worst Case,494100,27768432
Random Pivot - Worst Case,494100,21758664
End Pivot - Worst Case,494100,22338441
Middle Pivot - Worst Case,495100,26667752
Random Pivot - Worst Case,495100,21498232
End Pivot - Worst Case,495100,21279812
Middle Pivot - Worst Case,496100,27057576
Random Pivot - Worst Case,496100,22256881
End Pivot - Worst Case,496100,22561524
Middle Pivot - Worst Case,497100,27406617
Random Pivot - Worst Case,497100,22616613
End Pivot - Worst Case,497100,22732234
Middle Pivot - Worst Case,498100,28217019
Random Pivot - Worst Case,498100,22567500
End Pivot - Worst Case,498100,23345710
Middle Pivot - Worst Case,499100,27090507
Random Pivot - Worst Case,499100,22917721
End Pivot - Worst Case,499100,23144753
Middle Pivot - Worst Case,500100,26858147
Random Pivot - Worst Case,500100,22596733
End Pivot - Worst Case,500100,22239312
Middle Pivot - Worst Case,501100,27963841
Random Pivot - Worst Case,501100,25139782
End Pivot - Worst Case,501100,25435059
Middle Pivot - Worst Case,502100,28474685
Random Pivot - Worst Case,502100,22732739
End Pivot - Worst Case,502100,23804439
Middle Pivot - Worst Case,503100,27388948
Random Pivot - Worst Case,503100,22279484
End Pivot - Worst Case,503100,23687565
Middle Pivot - Worst Case,504100,28041618
Random Pivot - Worst Case,504100,22907279
End Pivot - Worst Case,504100,23287981
Middle Pivot - Worst Case,505100,27998163
Random Pivot - Worst Case,505100,23117106
End Pivot - Worst Case,505100,22421580
Middle Pivot - Worst Case,506100,28482013
Random Pivot - Worst Case,506100,21890403
End Pivot - Worst Case,506100,21972357
Middle Pivot - Worst Case,507100,27189526
Random Pivot - Worst Case,507100,21946443
End Pivot - Worst Case,507100,21665559
Middle Pivot - Worst Case,508100,26696107
Random Pivot - Worst Case,508100,21249962
End Pivot - Worst Case,508100,21720437
Middle Pivot - Worst Case,509100,26997283
Random Pivot - Worst Case,509100,23383469
End Pivot - Worst Case,509100,23498566
Middle Pivot - Worst Case,510100,28448207
Random Pivot - Worst Case,510100,22954896
End Pivot - Worst Case,510100,23041060
Middle Pivot - Worst Case,511100,27407443
Random Pivot - Worst Case,511100,23591910
End Pivot - Worst Case,511100,23236535
Middle Pivot - Worst Case,512100,27616920
Random Pivot - Worst Case,512100,22830551
End Pivot - Worst Case,512100,23607358
Middle Pivot - Worst Case,513100,27649542
Random Pivot - Worst Case,513100,23698718
End Pivot - Worst Case,513100,23756716
Middle Pivot - Worst Case,514100,28361771
Random Pivot - Worst Case,514100,21948268
End Pivot - Worst Case,514100,23873424
Middle Pivot - Worst Case,515100,27321648
Random Pivot - Worst Case,515100,24140368
End Pivot - Worst Case,515100,24279002
Middle Pivot - Worst Case,516100,28188174
Random Pivot - Worst Case,516100,24603476
End Pivot - Worst Case,516100,24179185
Middle Pivot - Worst Case,517100,30334245
Random Pivot - Worst Case,517100,23348949
End Pivot - Worst Case,517100,23922164
Middle Pivot - Worst Case,518100,29621060
Random Pivot - Worst Case,518100,22885604
End Pivot - Worst Case,518100,23191369
Middle Pivot - Worst Case,519100,27369929
Random Pivot - Worst Case,519100,23690664
End Pivot - Worst Case,519100,23710360
Middle Pivot - Worst Case,520100,27981825
Random Pivot - Worst Case,520100,22110939
End Pivot - Worst Case,520100,23082372
Middle Pivot - Worst Case,521100,28126110
Random Pivot - Worst Case,521100,23184700
End Pivot - Worst Case,521100,23661484
Middle Pivot - Worst Case,522100,29091346
Random Pivot - Worst Case,522100,23625453
End Pivot - Worst Case,522100,23932691
Middle Pivot - Worst Case,523100,28713083
Random Pivot - Worst Case,523100,23466012
End Pivot - Worst Case,523100,24578457
Middle Pivot - Worst Case,524100,28720187
Random Pivot - Worst Case,524100,23803033
End Pivot - Worst Case,524100,23448780
Middle Pivot - Worst Case,525100,28999392
Random Pivot - Worst Case,525100,23902418
End Pivot - Worst Case,525100,22893472
Middle Pivot - Worst Case,526100,28971447
Random Pivot - Worst Case,526100,23549085
End Pivot - Worst Case,526100,23861280
Middle Pivot - Worst Case,527100,27792705
Random Pivot - Worst Case,527100,22591460
End Pivot - Worst Case,527100,23105587
Middle Pivot - Worst Case,528100,31766922
Random Pivot - Worst Case,528100,23895837
End Pivot - Worst Case,528100,25140019
Middle Pivot - Worst Case,529100,30575205
Random Pivot - Worst Case,529100,23954414
End Pivot - Worst Case,529100,24278543
Middle Pivot - Worst Case,530100,32005783
Random Pivot - Worst Case,530100,23686643
End Pivot - Worst Case,530100,23812204
Middle Pivot - Worst Case,531100,34097404
Random Pivot - Worst Case,531100,24392216
End Pivot - Worst Case,531100,23804600
Middle Pivot - Worst Case,532100,32178851
Random Pivot - Worst Case,532100,23409573
End Pivot - Worst Case,532100,24686844
Middle Pivot - Worst Case,533100,29285893
Random Pivot - Worst Case,533100,24810279
End Pivot - Worst Case,533100,26316940
Middle Pivot - Worst Case,534100,31062228
Random Pivot - Worst Case,534100,24207076
End Pivot - Worst Case,534100,24377968
Middle Pivot - Worst Case,535100,29378494
Random Pivot - Worst Case,535100,23672003
End Pivot - Worst Case,535100,23227655
Middle Pivot - Worst Case,536100,30059977
Random Pivot - Worst Case,536100,22913448
End Pivot - Worst Case,536100,23857431
Middle Pivot - Worst Case,537100,29144529
Random Pivot - Worst Case,537100,24322317
End Pivot - Worst Case,537100,24750437
Middle Pivot - Worst Case,538100,30016741
Random Pivot - Worst Case,538100,25491339
End Pivot - Worst Case,538100,24524686
Middle Pivot - Worst Case,539100,30818451
Random Pivot - Worst Case,539100,23453184
End Pivot - Worst Case,539100,23649139
Middle Pivot - Worst Case,540100,29612466
Random Pivot - Worst Case,540100,24024089
End Pivot - Worst Case,540100,23574044
Middle Pivot - Worst Case,541100,29787532
Random Pivot - Worst Case,541100,24111369
End Pivot - Worst Case,541100,23813311
Middle Pivot - Worst Case,542100,30896983
Random Pivot - Worst Case,542100,24668627
End Pivot - Worst Case,542100,25424117
Middle Pivot - Worst Case,543100,29243039
Random Pivot - Worst Case,543100,25683327
End Pivot - Worst Case,543100,24274505
Middle Pivot - Worst Case,544100,29665498
Random Pivot - Worst Case,544100,24505282
End Pivot - Worst Case,544100,24979273
Middle Pivot - Worst Case,545100,34780530
Random Pivot - Worst Case,545100,26416941
End Pivot - Worst Case,545100,24843235
Middle Pivot - Worst Case,546100,31959849
Random Pivot - Worst Case,546100,24754191
End Pivot - Worst Case,546100,25913665
Middle Pivot - Worst Case,547100,33849313
Random Pivot - Worst Case,547100,25614902
End Pivot - Worst Case,547100,25793964
Middle Pivot - Worst Case,548100,29981497
Random Pivot - Worst Case,548100,25179645
End Pivot - Worst Case,548100,25341050
Middle Pivot - Worst Case,549100,30634071
Random Pivot - Worst Case,549100,24939054
End Pivot - Worst Case,549100,26121942
Middle Pivot - Worst Case,550100,29799033
Random Pivot - Worst Case,550100,26165678
End Pivot - Worst Case,550100,25211395
Middle Pivot - Worst Case,551100,31371547
Random Pivot - Worst Case,551100,24855340
End Pivot - Worst Case,551100,25106268
Middle Pivot - Worst Case,552100,30760630
Random Pivot - Worst Case,552100,25598796
End Pivot - Worst Case,552100,25707170
Middle Pivot - Worst Case,553100,32566049
Random Pivot - Worst Case,553100,25763112
End Pivot - Worst Case,553100,25737765
Middle Pivot - Worst Case,554100,31021819
Random Pivot - Worst Case,554100,25682769
End Pivot - Worst Case,554100,26030811
Middle Pivot - Worst Case,555100,34127098
Random Pivot - Worst Case,555100,25256013
End Pivot - Worst Case,555100,25956872
Middle Pivot - Worst Case,556100,32900994
Random Pivot - Worst Case,556100,25653167
End Pivot - Worst Case,556100,26294056
Middle Pivot - Worst Case,557100,30372541
Random Pivot - Worst Case,557100,25901733
End Pivot - Worst Case,557100,26224906
Middle Pivot - Worst Case,558100,29793448
Random Pivot - Worst Case,558100,26653923
End Pivot - Worst Case,558100,26438448
Middle Pivot - Worst Case,559100,31453360
Random Pivot - Worst Case,559100,26129931
End Pivot - Worst Case,559100,25029201
Middle Pivot - Worst Case,560100,30507405
Random Pivot - Worst Case,560100,24656365
End Pivot - Worst Case,560100,25477295
Middle Pivot - Worst Case,561100,31944216
Random Pivot - Worst Case,561100,24479916
End Pivot - Worst Case,561100,24257724
Middle Pivot - Worst Case,562100,31988839
Random Pivot - Worst Case,562100,26565386
End Pivot - Worst Case,562100,25850960
Middle Pivot - Worst Case,563100,29478437
Random Pivot - Worst Case,563100,24823694
End Pivot - Worst Case,563100,25358379
Middle Pivot - Worst Case,564100,30312878
Random Pivot - Worst Case,564100,25142295
End Pivot - Worst Case,564100,25441541
Middle Pivot - Worst Case,565100,31027407
Random Pivot - Worst Case,565100,28270135
End Pivot - Worst Case,565100,26694394
Middle Pivot - Worst Case,566100,31796121
Random Pivot - Worst Case,566100,26636073
End Pivot - Worst Case,566100,26638174
Middle Pivot - Worst Case,567100,31779317
Random Pivot - Worst Case,567100,25362621
End Pivot - Worst Case,567100,26463030
Middle Pivot - Worst Case,568100,31983423
Random Pivot - Worst Case,568100,26460836
End Pivot - Worst Case,568100,26844729
Middle Pivot - Worst Case,569100,33803859
Random Pivot - Worst Case,569100,26831535
End Pivot - Worst Case,569100,26544471
Middle Pivot - Worst Case,570100,33088882
Random Pivot - Worst Case,570100,27897362
End Pivot - Worst Case,570100,27505251
Middle Pivot - Worst Case,571100,30367529
Random Pivot - Worst Case,571100,25339507
End Pivot - Worst Case,571100,26120154
Middle Pivot - Worst Case,572100,31329516
Random Pivot - Worst Case,572100,25902231
End Pivot - Worst Case,572100,26773124
Middle Pivot - Worst Case,573100,35768641
Random Pivot - Worst Case,573100,28904448
End Pivot - Worst Case,573100,27713633
Middle Pivot - Worst Case,574100,32814616
Random Pivot - Worst Case,574100,26452237
End Pivot - Worst Case,574100,26901918
Middle Pivot - Worst Case,575100,32670955
Random Pivot - Worst Case,575100,26736592
End Pivot - Worst Case,575100,26796091
Middle Pivot - Worst Case,576100,31679345
Random Pivot - Worst Case,576100,26553174
End Pivot - Worst Case,576100,26955919
Middle Pivot - Worst Case,577100,51041089
Random Pivot - Worst Case,577100,27720575
End Pivot - Worst Case,577100,29056267
Middle Pivot - Worst Case,578100,32886083
Random Pivot - Worst Case,578100,28935156
End Pivot - Worst Case,578100,28398433
Middle Pivot - Worst Case,579100,33499472
Random Pivot - Worst Case,579100,26765505
End Pivot - Worst Case,579100,27030874
Middle Pivot - Worst Case,580100,32337519
Random Pivot - Worst Case,580100,26652142
End Pivot - Worst Case,580100,27404643
Middle Pivot - Worst Case,581100,33815591
Random Pivot - Worst Case,581100,26854115
End Pivot - Worst Case,581100,26603151
Middle Pivot - Worst Case,582100,32247919
Random Pivot - Worst Case,582100,27180005
End Pivot - Worst Case,582100,27791419
Middle Pivot - Worst Case,583100,32854536
Random Pivot - Worst Case,583100,27220781
End Pivot - Worst Case,583100,28187618
Middle Pivot - Worst Case,584100,33130560
Random Pivot - Worst Case,584100,26861667
End Pivot - Worst Case,584100,26211143
Middle Pivot - Worst Case,585100,29772734
Random Pivot - Worst Case,585100,26359797
End Pivot - Worst Case,585100,26248785
Middle Pivot - Worst Case,586100,31975070
Random Pivot - Worst Case,586100,26405924
End Pivot - Worst Case,586100,26494319
Middle Pivot - Worst Case,587100,37172663
Random Pivot - Worst Case,587100,27962640
End Pivot - Worst Case,587100,27332467
Middle Pivot - Worst Case,588100,32602302
Random Pivot - Worst Case,588100,26590342
End Pivot - Worst Case,588100,26657458
Middle Pivot - Worst Case,589100,32801546
Random Pivot - Worst Case,589100,26616792
End Pivot - Worst Case,589100,26874347
Middle Pivot - Worst Case,590100,32206217
Random Pivot - Worst Case,590100,26697471
End Pivot - Worst Case,590100,26453705
Middle Pivot - Worst Case,591100,32687615
Random Pivot - Worst Case,591100,26837141
End Pivot - Worst Case,591100,26709016
Middle Pivot - Worst Case,592100,33881641
Random Pivot - Worst Case,592100,27235150
End Pivot - Worst Case,592100,27957583
Middle Pivot - Worst Case,593100,32120049
Random Pivot - Worst Case,593100,27027471
End Pivot - Worst Case,593100,27391016
Middle Pivot - Worst Case,594100,30607276
Random Pivot - Worst Case,594100,26680816
End Pivot - Worst Case,594100,28684692
Middle Pivot - Worst Case,595100,36180204
Random Pivot - Worst Case,595100,27550388
End Pivot - Worst Case,595100,27198009
Middle Pivot - Worst Case,596100,35991696
Random Pivot - Worst Case,596100,28428491
End Pivot - Worst Case,596100,29038352
Middle Pivot - Worst Case,597100,37117861
Random Pivot - Worst Case,597100,27692209
End Pivot - Worst Case,597100,27925358
Middle Pivot - Worst Case,598100,32931638
Random Pivot - Worst Case,598100,26905663
End Pivot - Worst Case,598100,27448822
Middle Pivot - Worst Case,599100,32954684
Random Pivot - Worst Case,599100,27995385
End Pivot - Worst Case,599100,27341329
Middle Pivot - Worst Case,600100,32921566
Random Pivot - Worst Case,600100,27041422
End Pivot - Worst Case,600100,28103375
Middle Pivot - Worst Case,601100,33779392
Random Pivot - Worst Case,601100,27175748
End Pivot - Worst Case,601100,27395378
Middle Pivot - Worst Case,602100,32684524
Random Pivot - Worst Case,602100,27021791
End Pivot - Worst Case,602100,27479742
Middle Pivot - Worst Case,603100,31159977
Random Pivot - Worst Case,603100,29770403
End Pivot - Worst Case,603100,29163509
Middle Pivot - Worst Case,604100,35775348
Random Pivot - Worst Case,604100,27769968
End Pivot - Worst Case,604100,27672014
Middle Pivot - Worst Case,605100,38204585
Random Pivot - Worst Case,605100,28654868
End Pivot - Worst Case,605100,28853405
Middle Pivot - Worst Case,606100,34542500
Random Pivot - Worst Case,606100,28291388
End Pivot - Worst Case,606100,29326937
Middle Pivot - Worst Case,607100,35780990
Random Pivot - Worst Case,607100,28585223
End Pivot - Worst Case,607100,28546138
Middle Pivot - Worst Case,608100,33571873
Random Pivot - Worst Case,608100,28390306
End Pivot - Worst Case,608100,28492839
Middle Pivot - Worst Case,609100,33375974
Random Pivot - Worst Case,609100,27441586
End Pivot - Worst Case,609100,28599786
Middle Pivot - Worst Case,610100,35329488
Random Pivot - Worst Case,610100,28465201
End Pivot - Worst Case,610100,28957921
Middle Pivot - Worst Case,611100,34788904
Random Pivot - Worst Case,611100,28189075
End Pivot - Worst Case,611100,27858497
Middle Pivot - Worst Case,612100,32280970
Random Pivot - Worst Case,612100,27294207
End Pivot - Worst Case,612100,27568079
Middle Pivot - Worst Case,613100,34421793
Random Pivot - Worst Case,613100,27841656
End Pivot - Worst Case,613100,27932431
Middle Pivot - Worst Case,614100,38066615
Random Pivot - Worst Case,614100,29766388
End Pivot - Worst Case,614100,28224306
Middle Pivot - Worst Case,615100,35477681
Random Pivot - Worst Case,615100,27672027
End Pivot - Worst Case,615100,27848020
Middle Pivot - Worst Case,616100,33960041
Random Pivot - Worst Case,616100,28627767
End Pivot - Worst Case,616100,27869170
Middle Pivot - Worst Case,617100,33926138
Random Pivot - Worst Case,617100,27875546
End Pivot - Worst Case,617100,28614842
Middle Pivot - Worst Case,618100,34341282
Random Pivot - Worst Case,618100,27821639
End Pivot - Worst Case,618100,29459698
Middle Pivot - Worst Case,619100,35315250
Random Pivot - Worst Case,619100,28984951
End Pivot - Worst Case,619100,29224057
Middle Pivot - Worst Case,620100,34059470
Random Pivot - Worst Case,620100,28355690
End Pivot - Worst Case,620100,28718408
Middle Pivot - Worst Case,621100,36207508
Random Pivot - Worst Case,621100,28694523
End Pivot - Worst Case,621100,28620301
Middle Pivot - Worst Case,622100,36060656
Random Pivot - Worst Case,622100,28265025
End Pivot - Worst Case,622100,28445948
Middle Pivot - Worst Case,623100,41304064
Random Pivot - Worst Case,623100,30614543
End Pivot - Worst Case,623100,30191863
Middle Pivot - Worst Case,624100,35683169
Random Pivot - Worst Case,624100,29856641
End Pivot - Worst Case,624100,31289148
Middle Pivot - Worst Case,625100,35763158
Random Pivot - Worst Case,625100,30019575
End Pivot - Worst Case,625100,29774349
Middle Pivot - Worst Case,626100,35386770
Random Pivot - Worst Case,626100,29659302
End Pivot - Worst Case,626100,30289170
Middle Pivot - Worst Case,627100,35150382
Random Pivot - Worst Case,627100,29860474
End Pivot - Worst Case,627100,31060664
Middle Pivot - Worst Case,628100,35496704
Random Pivot - Worst Case,628100,29593335
End Pivot - Worst Case,628100,30117814
Middle Pivot - Worst Case,629100,34071654
Random Pivot - Worst Case,629100,30186976
End Pivot - Worst Case,629100,30007294
Middle Pivot - Worst Case,630100,35121585
Random Pivot - Worst Case,630100,29522997
End Pivot - Worst Case,630100,29707573
Middle Pivot - Worst Case,631100,37641238
Random Pivot - Worst Case,631100,29848514
End Pivot - Worst Case,631100,30830072
Middle Pivot - Worst Case,632100,37521987
Random Pivot - Worst Case,632100,30206475
End Pivot - Worst Case,632100,30795405
Middle Pivot - Worst Case,633100,37578155
Random Pivot - Worst Case,633100,31189923
End Pivot - Worst Case,633100,30641107
Middle Pivot - Worst Case,634100,36527948
Random Pivot - Worst Case,634100,30562091
End Pivot - Worst Case,634100,30339736
Middle Pivot - Worst Case,635100,36166740
Random Pivot - Worst Case,635100,30485039
End Pivot - Worst Case,635100,29830926
Middle Pivot - Worst Case,636100,38544580
Random Pivot - Worst Case,636100,31526493
End Pivot - Worst Case,636100,32016168
Middle Pivot - Worst Case,637100,35917517
Random Pivot - Worst Case,637100,29833964
End Pivot - Worst Case,637100,29993062
Middle Pivot - Worst Case,638100,33359888
Random Pivot - Worst Case,638100,28974698
End Pivot - Worst Case,638100,30381210
Middle Pivot - Worst Case,639100,37206541
Random Pivot - Worst Case,639100,30910335
End Pivot - Worst Case,639100,31024053
Middle Pivot - Worst Case,640100,42620375
Random Pivot - Worst Case,640100,31910414
End Pivot - Worst Case,640100,31937958
Middle Pivot - Worst Case,641100,36254152
Random Pivot - Worst Case,641100,29661800
End Pivot - Worst Case,641100,29695737
Middle Pivot - Worst Case,642100,35806066
Random Pivot - Worst Case,642100,30985251
End Pivot - Worst Case,642100,31015125
Middle Pivot - Worst Case,643100,38092460
Random Pivot - Worst Case,643100,30278465
End Pivot - Worst Case,643100,29660342
Middle Pivot - Worst Case,644100,40705030
Random Pivot - Worst Case,644100,30499256
End Pivot - Worst Case,644100,31245216
Middle Pivot - Worst Case,645100,38374339
Random Pivot - Worst Case,645100,30543553
End Pivot - Worst Case,645100,31285859
Middle Pivot - Worst Case,646100,36723625
Random Pivot - Worst Case,646100,29848902
End Pivot - Worst Case,646100,29775888
Middle Pivot - Worst Case,647100,38422346
Random Pivot - Worst Case,647100,29587925
End Pivot - Worst Case,647100,32868954
Middle Pivot - Worst Case,648100,42096012
Random Pivot - Worst Case,648100,32698329
End Pivot - Worst Case,648100,34085328
Middle Pivot - Worst Case,649100,35009503
Random Pivot - Worst Case,649100,29909954
End Pivot - Worst Case,649100,30510533
Middle Pivot - Worst Case,650100,36524404
Random Pivot - Worst Case,650100,29951946
End Pivot - Worst Case,650100,30382039
Middle Pivot - Worst Case,651100,36196179
Random Pivot - Worst Case,651100,30027089
End Pivot - Worst Case,651100,30311889
Middle Pivot - Worst Case,652100,35852621
Random Pivot - Worst Case,652100,29816337
End Pivot - Worst Case,652100,31334392
Middle Pivot - Worst Case,653100,37955174
Random Pivot - Worst Case,653100,31159106
End Pivot - Worst Case,653100,31131225
Middle Pivot - Worst Case,654100,36925877
Random Pivot - Worst Case,654100,30153291
End Pivot - Worst Case,654100,30658023
Middle Pivot - Worst Case,655100,34437007
Random Pivot - Worst Case,655100,29586964
End Pivot - Worst Case,655100,30135148
Middle Pivot - Worst Case,656100,37018708
Random Pivot - Worst Case,656100,31747941
End Pivot - Worst Case,656100,32578773
Middle Pivot - Worst Case,657100,42184122
Random Pivot - Worst Case,657100,32294729
End Pivot - Worst Case,657100,31323411
Middle Pivot - Worst Case,658100,39257816
Random Pivot - Worst Case,658100,32264460
End Pivot - Worst Case,658100,32548783
Middle Pivot - Worst Case,659100,37817507
Random Pivot - Worst Case,659100,32779381
End Pivot - Worst Case,659100,32226286
Middle Pivot - Worst Case,660100,39536860
Random Pivot - Worst Case,660100,31787230
End Pivot - Worst Case,660100,32012882
Middle Pivot - Worst Case,661100,38519423
Random Pivot - Worst Case,661100,30377593
End Pivot - Worst Case,661100,30728526
Middle Pivot - Worst Case,662100,40320277
Random Pivot - Worst Case,662100,31854904
End Pivot - Worst Case,662100,33153248
Middle Pivot - Worst Case,663100,38305868
Random Pivot - Worst Case,663100,30974812
End Pivot - Worst Case,663100,31511516
Middle Pivot - Worst Case,664100,39184773
Random Pivot - Worst Case,664100,33392756
End Pivot - Worst Case,664100,33689162
Middle Pivot - Worst Case,665100,40352974
Random Pivot - Worst Case,665100,33082574
End Pivot - Worst Case,665100,33149415
Middle Pivot - Worst Case,666100,36933572
Random Pivot - Worst Case,666100,32130621
End Pivot - Worst Case,666100,32184225
Middle Pivot - Worst Case,667100,37931335
Random Pivot - Worst Case,667100,33692677
End Pivot - Worst Case,667100,33223980
Middle Pivot - Worst Case,668100,37167887
Random Pivot - Worst Case,668100,31090297
End Pivot - Worst Case,668100,31932885
Middle Pivot - Worst Case,669100,40615510
Random Pivot - Worst Case,669100,34074735
End Pivot - Worst Case,669100,33917737
Middle Pivot - Worst Case,670100,35969388
